% Model:              MRP_withobs.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 14 2026, 23:47
% Table:              Table 4 - Global Evaluation 1
% u_in (m/s)             h_ratio                  Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)
0.034999999999999996     0.4                      54.25                    149.7005988023952        1998.8925961714963       2.7594580424404644       1997.360846613002        -2.792336346411034       54.25                    149.7005988023952        1998.8925961714963       2.7594580424404644       1997.360846613002        -2.792336346411034       54.25                    149.7005988023952        1998.8925961714963       2.7594580424404644       1997.360846613002        -2.792336346411034       54.25                    149.7005988023952        1998.8925961714963       2.7594580424404644       1997.360846613002        -2.792336346411034
0.038                    0.1                      58.9                     162.53207869974338       1999.30368961726         2.7594580424404644       1998.3012684166777       -4.266829116640613       58.9                     162.53207869974338       1999.30368961726         2.7594580424404644       1998.3012684166777       -4.266829116640613       58.9                     162.53207869974338       1999.30368961726         2.7594580424404644       1998.3012684166777       -4.266829116640613       58.9                     162.53207869974338       1999.30368961726         2.7594580424404644       1998.3012684166777       -4.266829116640613
0.038                    0.2                      58.9                     162.53207869974338       1999.2145527662049       2.7594580424404644       1997.9489017512865       -3.379414953543542       58.9                     162.53207869974338       1999.2145527662049       2.7594580424404644       1997.9489017512865       -3.379414953543542       58.9                     162.53207869974338       1999.2145527662049       2.7594580424404644       1997.9489017512865       -3.379414953543542       58.9                     162.53207869974338       1999.2145527662049       2.7594580424404644       1997.9489017512865       -3.379414953543542
0.038                    0.3                      58.9                     162.53207869974338       1999.1050976544152       2.7594580424404644       1997.5615651040598       -2.771020257912874       58.9                     162.53207869974338       1999.1050976544152       2.7594580424404644       1997.5615651040598       -2.771020257912874       58.9                     162.53207869974338       1999.1050976544152       2.7594580424404644       1997.5615651040598       -2.771020257912874       58.9                     162.53207869974338       1999.1050976544152       2.7594580424404644       1997.5615651040598       -2.771020257912874
0.038                    0.4                      58.9                     162.53207869974338       1998.945153930909        2.7594580424404644       1997.462476594206        -2.8847543965927835      58.9                     162.53207869974338       1998.945153930909        2.7594580424404644       1997.462476594206        -2.8847543965927835      58.9                     162.53207869974338       1998.945153930909        2.7594580424404644       1997.462476594206        -2.8847543965927835      58.9                     162.53207869974338       1998.945153930909        2.7594580424404644       1997.462476594206        -2.8847543965927835
0.041                    0.1                      63.55000000000001        175.36355859709155       1999.3468619709531       2.7594580424404644       1998.344568855325        -4.267374382894084       63.55000000000001        175.36355859709155       1999.3468619709531       2.7594580424404644       1998.344568855325        -4.267374382894084       63.55000000000001        175.36355859709155       1999.3468619709531       2.7594580424404644       1998.344568855325        -4.267374382894084       63.55000000000001        175.36355859709155       1999.3468619709531       2.7594580424404644       1998.344568855325        -4.267374382894084
0.041                    0.2                      63.55000000000001        175.36355859709155       1999.2617963713883       2.7594580424404644       1997.991001575044        -3.3657361346512986      63.55000000000001        175.36355859709155       1999.2617963713883       2.7594580424404644       1997.991001575044        -3.3657361346512986      63.55000000000001        175.36355859709155       1999.2617963713883       2.7594580424404644       1997.991001575044        -3.3657361346512986      63.55000000000001        175.36355859709155       1999.2617963713883       2.7594580424404644       1997.991001575044        -3.3657361346512986
0.041                    0.3                      63.55000000000001        175.36355859709155       1999.1531226179725       2.7594580424404644       1997.609780305278        -2.7713618233633652      63.55000000000001        175.36355859709155       1999.1531226179725       2.7594580424404644       1997.609780305278        -2.7713618233633652      63.55000000000001        175.36355859709155       1999.1531226179725       2.7594580424404644       1997.609780305278        -2.7713618233633652      63.55000000000001        175.36355859709155       1999.1531226179725       2.7594580424404644       1997.609780305278        -2.7713618233633652
0.041                    0.4                      63.55000000000001        175.36355859709155       1998.98941199903         2.7594580424404644       1997.554128064303        -2.980009642898107       63.55000000000001        175.36355859709155       1998.98941199903         2.7594580424404644       1997.554128064303        -2.980009642898107       63.55000000000001        175.36355859709155       1998.98941199903         2.7594580424404644       1997.554128064303        -2.980009642898107       63.55000000000001        175.36355859709155       1998.98941199903         2.7594580424404644       1997.554128064303        -2.980009642898107
0.044                    0.1                      68.2                     188.1950384944397        1999.3845607684882       2.7594580424404644       1998.3835716229676       -4.272933412837443       68.2                     188.1950384944397        1999.3845607684882       2.7594580424404644       1998.3835716229676       -4.272933412837443       68.2                     188.1950384944397        1999.3845607684882       2.7594580424404644       1998.3835716229676       -4.272933412837443       68.2                     188.1950384944397        1999.3845607684882       2.7594580424404644       1998.3835716229676       -4.272933412837443
0.044                    0.2                      68.2                     188.1950384944397        1999.302172722429        2.7594580424404644       1998.029269227184        -3.360160437739227       68.2                     188.1950384944397        1999.302172722429        2.7594580424404644       1998.029269227184        -3.360160437739227       68.2                     188.1950384944397        1999.302172722429        2.7594580424404644       1998.029269227184        -3.360160437739227       68.2                     188.1950384944397        1999.302172722429        2.7594580424404644       1998.029269227184        -3.360160437739227
0.044                    0.3                      68.2                     188.1950384944397        1999.1942427636288       2.7594580424404644       1997.6569179656437       -2.7822097005061095      68.2                     188.1950384944397        1999.1942427636288       2.7594580424404644       1997.6569179656437       -2.7822097005061095      68.2                     188.1950384944397        1999.1942427636288       2.7594580424404644       1997.6569179656437       -2.7822097005061095      68.2                     188.1950384944397        1999.1942427636288       2.7594580424404644       1997.6569179656437       -2.7822097005061095
0.044                    0.4                      68.2                     188.1950384944397        1999.0287775420995       2.7594580424404644       1997.6363974567325       -3.071833625554458       68.2                     188.1950384944397        1999.0287775420995       2.7594580424404644       1997.6363974567325       -3.071833625554458       68.2                     188.1950384944397        1999.0287775420995       2.7594580424404644       1997.6363974567325       -3.071833625554458       68.2                     188.1950384944397        1999.0287775420995       2.7594580424404644       1997.6363974567325       -3.071833625554458
0.047                    0.1                      72.85000000000001        201.02651839178787       1999.417094569461        2.7594580424404644       1998.4190070977331       -4.2853558299640255      72.85000000000001        201.02651839178787       1999.417094569461        2.7594580424404644       1998.4190070977331       -4.2853558299640255      72.85000000000001        201.02651839178787       1999.417094569461        2.7594580424404644       1998.4190070977331       -4.2853558299640255      72.85000000000001        201.02651839178787       1999.417094569461        2.7594580424404644       1998.4190070977331       -4.2853558299640255
